Column Count::2
Column Names::Word	Frequency
के	49526
में	14832
आ	12938
से	12846
बा	8924
का	8016
त	7206
ना	7094
कि	5832
रहे	5714
गइल	5220
पर	4860
हो	4216
क	4018
ऊ	3288
ई	3058
अपना	3034
खातिर	2766
हम	2626
एगो	2454
लोग	2376
ले	2314
एह	2274
मे	2050
कुछ	2034
जी	1942
कवनो	1920
बाकिर	1734
नइखे	1720
ह	1720
हमरा	1710
बात	1676
वाला	1674
अब	1626
भइल	1616
दिन	1586
एक	1584
भोजपुरी	1576
स	1532
रहल	1524
करे	1524
न	1502
मन	1414
आपन	1380
दे	1372
जा	1348
लागल	1286
जब	1274
ओकरा	1234
होखे	1192
सब	1190
र	1178
काम	1134
हमार	1128
अइसन	1114
कहानी	1094
जवन	1048
घर	1036
बाबू	1032
जे	1030
बाद	1006
आइल	1004
ग	992
होई	984
करत	982
जाई	982
ल	976
उनका	946
हमनी	942
बानी	934
माई	930
इ	910
ओह	868
केहू	854
ओकर	850
जात	850
प	836
जाला	820
उनकर	820
बहुत	820
तक	814
ओ	814
तब	784
हाथ	784
लो	782
लोगन	780
आदमी	736
भाषा	728
हिडिमा	728
जइसे	726
कइल	720
दू	714
समय	710
कबो	706
गो	702
रही	682
अउर	674
एही	668
भा	664
पानी	656
की	648
बाड़े	642
रूप	636
जवना	628
ओर	622
कइले	612
भीम	612
पाती	608
आज	604
समाज	602
पहिले	596
बे	590
भर	586
बाड़ी	578
रहलन	570
बाड़न	568
साथ	566
रहले	558
बड़ा	556
लइका	554
होला	552
हर	542
उ	542
चाहीं	536
ए	534
नया	530
है	524
कहीं	510
कइसे	508
भाई	506
रा	506
इहे	498
कहले	498
गइले	496
बेटी	494
कु	488
ठीक	486
घरे	478
बड़	476
मिलल	472
गाँव	472
पूरा	470
अपने	470
आवे	460
बन	460
ला	458
लेके	456
साथे	456
चल	452
एकरा	448
कर	444
परिवार	436
बियाह	436
फेर	436
वाली	434
खा	434
कहत	434
बिया	432
रहन	432
प्रसाद	428
ट	422
ओही	420
सिंह	418
जाव	412
च	410
भीतर	410
जाता	410
बाकि	408
खाली	408
बाबा	404
बइठल	400
मुँह	400
कम	400
काहे	400
एतना	392
साहित्य	390
छ	390
साल	386
गइलन	384
मार्च	384
आवत	382
आगे	382
होत	378
व	378
ज	378
एकर	376
बनल	374
रहली	374
रे	374
जइसन	368
री	368
बिना	366
कई	364
