Column Count::2
Column Names::Word	Frequency
के	29892
में	9986
से	7475
हे	7208
हल	6382
आउ	5636
पर	3991
गेल	3503
मगही	2803
कि	2571
ई	2447
ऊ	2319
तो	2211
हो	2189
नञ्	2136
भी	1996
रहल	1766
न	1761
लगल	1546
हम	1494
सब	1458
ले	1382
जा	1331
त	1207
हइ	1195
जी	1134
घर	1117
एगो	1068
एक	1010
बात	1004
अप्पन	978
ओकर	976
दिन	963
सिंह	891
अपन	887
हमरा	885
जे	862
हलन	809
साहित्य	806
ओकरा	805
हम्मर	780
अब	758
की	755
बाबू	750
कुमार	741
करे	733
कर	702
लेल	677
तक	671
प्रसाद	669
ही	652
कुछ	639
का	625
मन	619
भर	611
दे	610
लोग	597
हथ	588
जाय	566
ला	560
काम	558
माय	553
कोय	546
आ	544
उनकर	523
देलक	506
कवि	505
चल	501
पानी	490
अइसन	489
जब	488
गेलन	472
हाथ	469
तब	464
बाद	459
मुदा	453
जाहे	452
एकरा	447
अपने	432
साथ	431
होल	430
गाँव	428
हमर	426
गो	397
अदमी	395
दू	393
होवे	391
भेल	385
वला	384
आदमी	376
उनखर	375
साहेब	375
साहित	374
कहानी	371
अंक	366
रहे	365
बाकि	359
काहे	357
आँख	348
काजकरम	336
अउ	336
जिनगी	335
ने	335
एकर	330
नाम	330
रचना	322
लेके	320
मनभावन	311
आझ	309
राम	308
लेकिन	300
मुँह	297
उनका	296
बाप	295
साल	294
रे	291
पहिले	291
पत्रिका	285
दने	284
रहलन	282
रात	281
जेकरा	280
आज	279
कविता	277
जात	276
दोसर	270
आवे	268
देख	266
करके	265
साहितकार	264
सभे	263
देह	263
रह	260
खाली	260
नियन	258
हें	255
तोरा	254
देलन	251
गेला	251
आल	250
इ	244
बेटी	243
चाही	243
नइ	241
समाज	239
केतना	239
समय	235
जइसन	235
लगलन	235
ठीक	233
एतना	230
बेटा	228
अभी	227
तीन	225
तोर	225
पइसा	224
ह	224
जादे	222
शर्मा	222
कउनो	221
लग	219
परिवार	216
शहर	215
बस	214
गीत	213
या	213
सम्मान	212
उदय	211
नजर	211
बोलल	211
आयोजन	210
माथा	209
सम्मेलन	206
लेलक	206
मगह	205
ढेर	205
बाबा	205
जगह	203
कभी	203
हिसुआ	202
तूँ	200
लाल	198
हमनी	198
कम	196
फेर	196
धरती	196
बिहार	195
गेलइ	195
बनल	194
सउँसे	194
आग	193
हथिन	192
जरूरत	191
सामने	191
साथे	191
ढीबरा	189
देखे	188
हिन्दी	185
विकास	185
रूप	185
बियाह	185
तोहर	183
जेकर	181
आगू	179
बन	178
हला	178
भगवान	177
जयराम	176
उनखा	175
चार	175
लगे	175
भारती	174
देवे	172
मिल	171
बाहर	171
कहलक	171
भाय	171
सबके	170
खेत	170
हर	168
कोई	168
होत	168
मिलल	167
वाला	167
मालिक	167
पूरा	167
घड़ी	167
देल	165
हली	165
देखके	163
केकरो	162
हीं	162
कह	161
बड़ी	161
नौकरी	161
बइठल	160
होके	160
जइसे	159
भीतर	159
तर	159
बकि	158
तउ	157
आयल	157
कहे	156
मकान	156
फेन	155
खातिर	155
नवादा	154
कइसे	154
कहाँ	154
भे	153
उ	153
लड़कन	153
देश	152
लघुकथा	151
श्री	151
जाके	151
भरल	150
दूध	150
अवाज	149
बड़ी	148
पाँच	148
बिना	147
पड़ल	147
चेहरा	147
एकदम	146
मई	146
सब्भे	145
