Column Count::2
Column Names::Word	Frequency
अछि	13807
सभ	7887
जे	7380
नहि	6354
ओ	5214
मे	4468
लेल	4039
गेल	3873
आ	3653
एहि	3641
ई	3522
केँ	3500
रहल	3287
सेहो	3219
आओर	3081
छी	2742
एक	2675
मुदा	2659
छल	2604
अहाँ	2557
अपन	2484
हम	2299
लोक	2229
टा	2118
छथिन्ह	1950
छथि	1924
हुनका	1780
पर	1736
सभक	1716
कोनो	1692
हमरा	1663
की	1634
किछु	1633
भेल	1593
करैत	1497
जाइत	1439
और	1430
बात	1331
दिन	1148
होइत	1140
जखन	1133
आब	1129
ओकरा	1124
छनि	1124
हमर	1109
जा	1075
छलाह	1071
बाद	1043
से	1013
ओहि	998
अपना	989
मैथिली	976
धरि	972
होय	955
सकैत	934
सभकेँ	867
देल	863
जाय	859
झा	858
गेलाह	846
रहैत	845
कयल	842
करय	839
दोसर	809
लागल	803
हुनकर	800
काज	799
तखन	786
बाला	783
कारण	768
यीशु	754
एहन	738
रहय	730
नीक	716
आयल	708
फेर	705
आबि	699
कि	697
बेर	688
जाहि	687
ठाम	686
लोककेँ	674
लग	666
सन्तति	662
जी	659
एकर	656
जायत	656
बेसी	605
लोकक	602
मिथिलाक	598
होयत	580
ओकर	575
ने	544
समय	528
पानि	524
ओना	520
कहि	518
कुमार	516
मिथिला	511
पूरा	509
द्वारा	500
चाही	499
जकाँ	491
सकय	491
कहलथिन	487
पहिने	486
एकटा	486
छैक	480
बिहारक	468
दैत	462
वोट	461
करबाक	460
एकरा	459
सिंह	448
कहल	446
कयलनि	437
अहाँक	436
हिनका	435
तॅ	434
देलथिन	427
उत्तर	422
एहिमे	421
कथा	420
कहब	418
राजा	417
के	413
गोनू	406
कय	400
देखि	399
बाहर	398
चलि	397
साहित्य	394
घर	393
यहूदी	392
जीक	386
छलहुँ	383
शुरू	381
नाम	381
सरकार	371
कयने	369
कहैत	369
वा	369
बहुत	369
पौलुस	366
जेना	364
देने	362
पता	359
श्री	359
सब	358
कोना	354
यादव	346
हेतु	346
जीवन	338
अपने	335
गप	332
रहत	326
किएक	326
बीच	325
अहाँकेँ	324
बिहार	321
करयकेँ	315
तेँ	312
लगलाह	311
बारेमे	310
दिस	306
आगाँ	304
अखन	299
आइ	299
बड़का	296
राज्यक	296
रेल	295
करब	293
केओ	292
भए	292
कतोक	288
नीतीश	287
मिलत	287
छलनि	284
विकासक	281
कोशिश	280
गाम	280
गामक	280
कतेक	280
प्रेम	279
हाल	278
पड़ल	278
पिता	278
छै	277
विकास	277
रहलाह	275
चुनाव	274
हाथ	274
लोकनि	274
लगैत	270
दू	269
विचार	269
राज्य	269
देशक	268
चारि	268
वला	266
कारणेँ	265
देलक	262
प्रभु	260
मधुबनी	259
छलखिन्ह	259
नेता	258
चाहैत	256
बनि	254
बिहारमे	253
कियाक	253
बड़	253
मिश्र	251
तथा	250
देखैत	250
एतेक	248
हिनकर	248
तकरा	248
देलनि	247
छोड़ि	245
लेने	241
करीब	240
वर्णन	240
जनैत	240
तकर	239
रूपमे	238
पहिल	238
बला	238
आदि	238
भाषा	237
कम	237
बनल	236
तरहेँ	236
काल	235
गाममे	235
सरकारक	232
दिल्ली	232
झाक	232
हुनक	230
भरि	229
पत्नी	229
आदमी	229
जरूरत	228
मोन	228
अबैत	228
भेलाह	227
पूर्व	226
जकरा	225
बिहारी	224
साल	223
क्षेत्रमे	223
क	222
प्रसाद	221
लगा	220
थिक	220
पत्रुस	220
होयबाक	219
विवाह	218
रहि	217
हिनक	216
छलन्हि	215
कोन	214
विरोध	214
नगर	213
राज	212
सामाजिक	212
जकर	211
तरहक	210
जेडीयू	210
करु	210
कएल	210
छलीह	208
कार्यक्रम	207
ट्रेन	206
प्राप्त	205
तीन	204
शामिल	204
रूप	203
तोरा	202
देखय	201
ताहि	201
पवित्र	200
भारी	199
सुनि	199
लाल	198
समाजक	198
गेलनि	198
देखल	197
बस	196
बढ़ि	195
अलग	195
समाज	194
वोटिंग	193
